topic-id,word,lift
27,preparedness,18.058434
27,ihr,18.031166
27,competencies,17.938349
27,staffing,17.917539
27,telemedicine,17.787304
27,pharmacists,17.739954
27,biosurveillance,17.643511
27,rfid,17.564937
27,casualty,17.486174
27,emergencies,17.477217
27,evd,17.463583
27,telehealth,17.423295
27,ghsa,17.393662
27,goarn,17.335859
27,chws,17.263604
27,idsr,17.190532
27,staffed,17.187824
27,gphin,16.995635
27,drills,16.984532
27,cdc's,16.968399
4,moi,18.861391
4,hpi,18.522608
4,flowjo,18.491719
4,δδct,18.351450
4,pbs-treated,18.240117
4,reed-muench,18.187593
4,cells/well,18.157040
4,mock-treated,18.137193
4,mpscs,18.031735
4,dpbs,17.997173
4,dunnett's,17.916782
4,fbs,17.857957
4,dmem/f,17.816655
4,lipin,17.787975
4,celltiter-glo,17.782961
4,penicillin-streptomycin,17.760984
4,antifade,17.741490
4,gldc,17.714272
4,d.p.i,17.709442
4,dmso-treated,17.679163
3,colic,20.076142
3,ulceration,20.001250
3,distention,19.782005
3,esophagus,19.661924
3,erosions,19.623047
3,muscularis,19.607433
3,edematous,19.586580
3,lipidosis,19.579638
3,recumbency,19.566185
3,imha,19.485657
3,incisors,19.475273
3,prolapse,19.426453
3,lymphoplasmacytic,19.415295
3,eyelid,19.403760
3,lacrimal,19.369655
3,laminitis,19.355249
3,thickened,19.345305
3,adenomas,19.336196
3,abscessation,19.303113
3,lymphosarcoma,19.293536
11,cxcl,20.393148
11,treg,20.344622
11,tregs,20.314658
11,foxp,20.136081
11,ptx,20.009347
11,pdc,19.999049
11,fgl,19.952404
11,sp-d,19.897057
11,tcr,19.886106
11,pd-l,19.876242
11,ifn-g,19.853527
11,chemoattractant,19.808016
11,tnf-a,19.791897
11,perforin,19.701126
11,nkp,19.679884
11,chemokines,19.659750
11,pdcs,19.640909
11,nkt,19.638108
11,iel,19.622766
11,ilc,19.559045
30,theorem,21.401456
30,deterministic,21.376539
30,stochastic,21.299245
30,svm,21.266254
30,i(t,21.201284
30,r(t,21.129890
30,priors,21.054690
30,s(t,20.937387
30,asymptotically,20.926903
30,autocorrelation,20.919197
30,ðtþ,20.918886
30,scale-free,20.898244
30,betweenness,20.881080
30,kernel,20.781423
30,agent-based,20.761860
30,wavelet,20.731667
30,centrality,20.706303
30,eigenvalue,20.683001
30,stochasticity,20.629711
30,space-time,20.625207
21,hsct,21.847364
21,aki,21.414833
21,peep,21.369342
21,ecmo,21.316814
21,hrct,21.236397
21,posttransplant,21.231047
21,fio,21.188449
21,post-transplant,21.140636
21,sofa,21.136642
21,sot,21.134336
21,carv,21.006644
21,ggo,21.004521
21,allo-hsct,21.004338
21,ptld,20.970650
21,transfused,20.938518
21,extracorporeal,20.918820
21,trali,20.918492
21,methylprednisolone,20.911478
21,hlh,20.874286
21,agvhd,20.854749
10,randomisation,22.678542
10,ptsd,22.672927
10,univariable,22.640393
10,cronbach's,22.500341
10,univariate,22.206717
10,subscales,22.146452
10,itt,22.142717
10,multivariable,22.081272
10,subscale,22.076089
10,wurss,22.046795
10,aor,22.019221
10,ies-r,21.965785
10,rhinothermy,21.896337
10,marital,21.866730
10,qol,21.715829
10,cfrd,21.697856
10,self-efficacy,21.689213
10,mwt,21.677595
10,dichotomized,21.665752
10,mmvd,21.664301
18,mosquitoes,24.188390
18,wildlife,24.177195
18,aegypti,23.812826
18,captive,23.443236
18,bushmeat,23.284490
18,zoos,23.215920
18,lbms,23.215920
18,vampire,23.199778
18,eblv,23.173355
18,aedes,23.161931
18,zoonoses,23.159022
18,mosquito,23.120334
18,rabid,23.119656
18,wolves,23.110432
18,roosts,23.091365
18,foxes,22.982192
18,arboviral,22.934343
18,sylvatic,22.934343
18,hyenas,22.829401
18,free-ranging,22.706735
15,tourism,26.821372
15,firms,26.457193
15,prices,26.274634
15,asean,26.081661
15,investors,26.045903
15,airlines,26.009291
15,gambling,25.813024
15,wto,25.745558
15,discourse,25.719004
15,hospitality,25.622902
15,sovereignty,25.604423
15,journalists,25.544915
15,diplomacy,25.541428
15,mdgs,25.520069
15,legitimacy,25.432649
15,politics,25.414449
15,diplomatic,25.275577
15,long-run,25.248652
15,subsidies,25.168809
15,firm's,25.151735
13,hmpv,25.597499
13,hbov,25.544220
13,wheezing,25.340703
13,aom,25.203353
13,urti,25.040692
13,croup,25.034489
13,lrti,24.948567
13,hrv-c,24.931822
13,hrvs,24.825366
13,wheeze,24.822310
13,ari,24.757255
13,hrv-a,24.747871
13,lri,24.712020
13,lrtis,24.671987
13,ev-d,24.658722
13,uri,24.603560
13,rv-c,24.594320
13,exacerbations,24.548730
13,alri,24.505872
13,rsv-a,24.455007
29,grft,27.370394
29,glcnac,27.234113
29,golgi,27.177319
29,tgn,27.068601
29,dc-signr,27.034227
29,ergic,27.028159
29,viroporins,27.014879
29,cisternae,27.004864
29,clathrin,26.968193
29,gbf,26.964940
29,lsectin,26.891330
29,trans-golgi,26.855456
29,high-mannose,26.852132
29,hemifusion,26.680715
29,mβcd,26.651938
29,sialylated,26.648115
29,copi,26.575502
29,o-acetylated,26.574089
29,lectins,26.562610
29,palmitoylation,26.538197
