topic-id,proportion,eff-no-words
27,0.056487,2634.507338
4,0.053122,1402.447927
3,0.051933,4707.595131
11,0.051160,1960.743773
30,0.047829,2570.182864
21,0.047816,2314.381142
10,0.043905,1815.533306
18,0.043591,2567.755381
15,0.040810,6317.842311
13,0.040644,1137.967067
29,0.038503,2623.009380
22,0.037132,1760.420340
20,0.034901,2394.645498
25,0.034683,2095.743061
26,0.034014,1515.414207
19,0.033440,2127.589999
8,0.033137,2846.316531
28,0.032896,2197.258121
14,0.032871,3188.251079
6,0.032745,2439.089771
7,0.029423,3797.478619
24,0.028540,903.360673
9,0.026320,4987.226570
2,0.025495,2862.354695
12,0.024849,3817.164861
23,0.020516,3734.376725
16,0.007794,3958.697887
5,0.005581,5118.089703
17,0.005171,3961.211862
1,0.004692,6012.353219
