topic-id,word,probability
13,cells,0.043761
13,fig,0.015932
13,cell,0.012605
13,protein,0.009810
13,min,0.008142
13,expression,0.007406
13,figure,0.007266
13,incubated,0.007091
13,control,0.006208
13,assay,0.005720
13,data,0.005669
13,performed,0.005519
13,medium,0.005435
13,pbs,0.005011
13,results,0.004967
13,antibody,0.004958
13,buffer,0.004889
13,analysis,0.004865
13,infected,0.004422
19,health,0.027494
19,public,0.010423
19,disease,0.009450
19,diseases,0.007274
19,research,0.007115
19,countries,0.006875
19,global,0.005128
19,surveillance,0.005028
19,information,0.004833
19,data,0.004595
19,national,0.004548
19,development,0.004509
19,infectious,0.004197
19,systems,0.004114
19,system,0.004113
19,international,0.003945
19,response,0.003918
19,control,0.003414
19,risk,0.003088
2,cells,0.040586
2,immune,0.013986
2,cell,0.013557
2,response,0.009438
2,expression,0.008434
2,infection,0.008408
2,mice,0.007945
2,responses,0.007279
2,macrophages,0.005973
2,disease,0.005681
2,cytokines,0.005669
2,activation,0.005534
2,production,0.005530
2,inflammatory,0.005298
2,role,0.005018
2,tlr,0.005013
2,cns,0.004957
2,cytokine,0.004570
2,levels,0.004158
28,patients,0.029176
28,study,0.020655
28,group,0.009781
28,studies,0.008161
28,treatment,0.006766
28,results,0.006750
28,data,0.006569
28,significant,0.006097
28,asthma,0.005955
28,age,0.005919
28,compared,0.005569
28,clinical,0.005390
28,risk,0.005346
28,analysis,0.005182
28,higher,0.004942
28,years,0.004895
28,groups,0.004835
28,significantly,0.004590
28,levels,0.004430
17,virus,0.061708
17,viral,0.039212
17,viruses,0.031245
17,infection,0.022056
17,hiv,0.013125
17,replication,0.011727
17,host,0.010454
17,cells,0.009156
17,infected,0.008977
17,cell,0.008870
17,influenza,0.008703
17,antiviral,0.008107
17,human,0.007949
17,rna,0.006694
17,hcv,0.006253
17,infections,0.005581
17,studies,0.003998
17,ifitm,0.003642
17,denv,0.003614
27,patients,0.024989
27,infection,0.011535
27,disease,0.011166
27,pneumonia,0.009742
27,treatment,0.008846
27,clinical,0.008516
27,respiratory,0.008155
27,cases,0.007407
27,acute,0.006571
27,diagnosis,0.006540
27,therapy,0.006508
27,infections,0.006275
27,lung,0.006123
27,severe,0.005877
27,fever,0.005715
27,symptoms,0.005617
27,patient,0.005550
27,children,0.005510
27,pulmonary,0.004976
25,data,0.016191
25,model,0.012000
25,models,0.006983
25,number,0.006308
25,time,0.006110
25,information,0.005936
25,network,0.005862
25,analysis,0.005697
25,results,0.005293
25,set,0.004779
25,based,0.004752
25,methods,0.004333
25,method,0.004327
25,system,0.004065
25,fig,0.003891
25,values,0.003730
25,approach,0.003720
25,study,0.003520
25,table,0.003018
24,protein,0.017000
24,binding,0.015800
24,residues,0.011535
24,structure,0.010440
24,proteins,0.009509
24,peptide,0.007955
24,domain,0.007567
24,peptides,0.006218
24,fig,0.006043
24,site,0.005716
24,amino,0.005598
24,structural,0.004842
24,interactions,0.004768
24,pro,0.004749
24,structures,0.004692
24,figure,0.004670
24,activity,0.004272
24,sequence,0.004093
24,complex,0.003997
4,protein,0.014280
4,proteins,0.012502
4,expression,0.012031
4,cells,0.010927
4,infection,0.008255
4,signaling,0.007774
4,ifn,0.007464
4,activation,0.007414
4,cell,0.007000
4,viral,0.006975
4,pathway,0.006621
4,response,0.006474
4,genes,0.005373
4,cellular,0.005245
4,replication,0.005214
4,host,0.005038
4,autophagy,0.004644
4,activity,0.004542
4,pathways,0.004447
8,care,0.014040
8,patients,0.010783
8,health,0.008701
8,hospital,0.008563
8,patient,0.008277
8,medical,0.007105
8,infection,0.006250
8,staff,0.005987
8,risk,0.005926
8,control,0.005715
8,hospitals,0.005215
8,healthcare,0.004959
8,workers,0.004334
8,contact,0.004307
8,emergency,0.004184
8,participants,0.004154
8,transmission,0.004032
